timestamp,i,in_amt,old_swap_out_amt,ng_swap_out_amt,old_swap_balances_a,old_swap_balances_b,ng_swap_balances_a,ng_swap_balances_b,old_swap_xcp_profit,ng_swap_xcp_profit,old_swap_D,ng_swap_D,old_swap_lp_price,ng_swap_lp_price,old_swap_virtual_price,ng_swap_virtual_price,old_swap_price_scale,old_swap_price_oracle,ng_swap_price_scale,ng_swap_price_oracle,ng_swap_xcp_oracle,old_swap_last_price,ng_swap_last_price,ng_fee_receiver_balances_a,ng_fee_receiver_balances_b,old_fee_receiver_admin_balances,old_swap_totalSupply,ng_swap_totalSupply,old_swap_fee,ng_swap_fee
1704812576,1,1202.11380917444,1198.987625604314,1198.9876256043779,99998801.0123744,100001202.11380917,99998801.0123744,100001202.11380917,1.000000015627486,1.000000015627486,200000003.12549722,200000003.12549722,2.000000031254972,2.000000031254972,1.000000015627486,1.000000015627486,1.0,1.0,1.0,1.0,100000000.0,0.9973994279524393,0.9999988566149122,0.3906824626830885,0.39069184347777997,0,100000000000000000000000000,100000000000000000000000000,26000011,26000011
1704812854,1,4897.559578522626,4884.808795022201,4884.808795022247,99993916.20357937,100006099.67338769,99993916.20357937,100006099.67338769,1.0000000792964758,1.0000000792964758,200000015.8592952,200000015.8592952,1.9992856759019015,1.9999998443247766,1.0000000792964758,1.0000000792964758,1.0,0.9992856449869645,1.0,0.9999996857318745,100000000.0069552,0.9973965026262587,0.9999941978262579,1.982291135305883,1.9825326618418486,0,100000000000000000000000000,100000000000000000000000000,26000306,26000306
1704813281,1,4916.0584783961785,4903.236301475585,4903.2363014757175,99989012.9672779,100011015.73186609,99989012.9672779,100011015.73186609,1.0000001432075087,1.0000001432075087,200000028.64150172,200000028.64150172,1.9985498002478994,1.999997834054264,1.0000001432075087,1.0000001432075087,1.0,0.9985500400179821,1.0,0.999997547641101,100000000.06105037,0.997391776973984,0.9999895193761608,3.5797938485828737,3.58058158874539,0,100000000000000000000000000,100000000000000000000000000,26000999,26000999
1704813307,0,4910.790854378033,4898.062521061872,4898.062521061983,99993923.75813228,100006117.66934504,99993923.75813228,100006117.66934504,1.0000002070488756,1.0000002070488756,200000041.4097751,200000041.4097751,1.99851562993543,1.999997724015066,1.0000002070488756,1.0000002070488756,1.0,0.9985157672908758,1.0,0.9999973099196807,100000000.06699792,1.0025986465590075,0.9999941928535455,5.175906298770829,5.176537482541609,0,100000000000000000000000000,100000000000000000000000000,26000307,26000307
1704814205,0,4800.712530587484,4788.247529898486,4788.2475298985555,99998724.47066286,100001329.42181513,99998724.47066286,100001329.42181513,1.0000002694583507,1.0000002694583507,200000053.89167017,200000053.89167017,2.0011519994146942,1.9999958355448584,1.0000002694583507,1.0000002694583507,1.0,1.001151791652863,1.0,0.9999952966349545,100000000.36222845,1.002603249019848,0.9999987595429082,6.736371029816698,6.736546511229777,0,100000000000000000000000000,100000000000000000000000000,26000014,26000014
1704814209,0,1469.399367016737,1465.5797211594793,1465.5797211595536,100000193.87002988,99999863.84209397,100000193.87002988,99999863.84209397,1.0000002885605546,1.0000002885605546,200000057.71211088,200000057.71211088,2.0011587254576386,1.9999958897256969,1.0000002885605546,1.0000002885605546,1.0,1.0011584833290323,1.0,0.9999953126114334,100000000.36393456,1.002606235472633,1.0000001571561377,7.2140257648870945,7.214001956632924,0,100000000000000000000000000,100000000000000000000000000,26000000,26000000
1704815036,1,624.4666030305306,622.842902472056,622.8429024721813,99999571.02712741,100000488.308697,99999571.02712741,100000488.308697,1.0000002966786212,1.0000002966786212,200000059.33572423,200000059.33572423,2.0020488839937816,1.999998888264996,1.0000002966786212,1.0000002966786212,1.0,1.002049338901866,1.0,0.9999982949089861,100000000.73950963,0.9973998600556144,0.9999995631992477,7.416931513225853,7.416999547663503,0,100000000000000000000000000,100000000000000000000000000,26000001,26000001
1704815539,0,6899.797745896409,6881.838429671317,6881.838429671457,100006470.8248733,99993606.47026733,100006470.8248733,99993606.47026733,1.0000003863771911,1.0000003863771911,200000077.27543825,200000077.27543825,2.000001036660997,1.9999996269056346,1.0000003863771911,1.0000003863771911,1.0,1.0000002639065297,1.0,0.9999988541520232,100000000.97204284,1.0026096683914663,1.000006126533758,9.660051092398117,9.65880846957842,0,100000000000000000000000000,100000000000000000000000000,26000341,26000341
1704816372,0,9154.008821640788,9130.110799482909,9130.11079948293,100015624.83369495,99984476.35946785,100015624.83369495,99984476.35946785,1.0000005053881227,1.0000005053881227,200000101.07762453,200000101.07762453,2.0016132223678964,2.000004361122819,1.0000005053881227,1.0000005053881227,1.0,1.001612860582756,1.0,1.0000033503476868,100000001.47211927,1.0026174953056683,1.0000148417128332,12.63667083118844,12.632735315949134,0,100000000000000000000000000,100000000000000000000000000,26002003,26002003
1704816408,1,9024.361536351587,9000.992738097402,9000.9927380975,100006623.84095685,99993500.7210042,100006623.84095685,99993500.7210042,1.0000006227072902,1.0000006227072902,200000124.54145804,200000124.54145804,2.001654348515896,2.0000050641988927,1.0000006227072902,1.0000006227072902,1.0,1.001653785258532,1.0,1.0000038187855802,100000001.50045331,0.9974104762802275,1.0000062497936362,15.56870373604627,15.566660771702626,0,100000000000000000000000000,100000000000000000000000000,26000355,26000355
