block,timestamp,virtual_price,xcp_profit,price_scale,price_oracle,donation_shares,totalSupply,last_donation_release_ts,donation_protection_expiry_ts,balances_0,balances_1,D
23434000,1758730235,1000009167183219950,1000009167183219950,113000000000000006291456,113047942715575990283350,0,34031757949952281729,0,0,11466000000000000000000,10100963,22880082300931980725758
23434001,1758730247,1000009167183219950,1000009167183219950,113000000000000006291456,113047988756430971679374,0,34031757949952281729,0,0,11466000000000000000000,10100963,22880082300931980725758
23434002,1758730259,1000009167183219950,1000009167183219950,113000000000000006291456,113048034163706273706442,0,34031757949952281729,0,0,11466000000000000000000,10100963,22880082300931980725758
23434003,1758730271,1000009167183219950,1000009167183219950,113000000000000006291456,113048078946120744228468,0,34031757949952281729,0,0,11466000000000000000000,10100963,22880082300931980725758
23434004,1758730283,1000009167183219950,1000009167183219950,113000000000000006291456,113048123112273248871110,0,34031757949952281729,0,0,11466000000000000000000,10100963,22880082300931980725758
23434005,1758730295,1000009167183219950,1000009167183219950,113000000000000006291456,113048166670644322127264,0,34031757949952281729,0,0,11466000000000000000000,10100963,22880082300931980725758
23434006,1758730307,1000009167183219950,1000009167183219950,113000000000000006291456,113048209629597795741020,0,34031757949952281729,0,0,11466000000000000000000,10100963,22880082300931980725758
23434007,1758730319,1000009167183219950,1000009167183219950,113000000000000006291456,113048251997382404683719,0,34031757949952281729,0,0,11466000000000000000000,10100963,22880082300931980725758
23434008,1758730331,1000009167183219950,1000009167183219950,113000000000000006291456,113048293782133371028861,0,34031757949952281729,0,0,11466000000000000000000,10100963,22880082300931980725758
23434009,1758730343,1000009167183219950,1000009167183219950,113000000000000006291456,113048334991873966031695,0,34031757949952281729,0,0,11466000000000000000000,10100963,22880082300931980725758
23434010,1758730355,1000009167183219950,1000009167183219950,113000000000000006291456,113048375634517050712198,0,34031757949952281729,0,0,11466000000000000000000,10100963,22880082300931980725758
23434011,1758730367,1000009167183219950,1000009167183219950,113000000000000006291456,113048415717866595237897,0,34031757949952281729,0,0,11466000000000000000000,10100963,22880082300931980725758
23434012,1758730379,1000009167183219950,1000009167183219950,113000000000000006291456,113048455249619177397937,0,34031757949952281729,0,0,11466000000000000000000,10100963,22880082300931980725758
23434013,1758730391,1000009167183219950,1000009167183219950,113000000000000006291456,113048494237365460456445,0,34031757949952281729,0,0,11466000000000000000000,10100963,22880082300931980725758
